Location_Name,DATE,lat,lon
Black Sea,03-01-22,-104.677422,39.06047
Peden,03-01-22,110.28694,-7.63222
Black Sea,03-01-22,-104.677422,39.06047
Rain oe‘nin,03-02-22,10.915135,48.690175
Secu Coun,03-02-22,23.3,44.46667
Black Sea,03-02-22,-104.677422,39.06047
Europe,03-03-22,39.579995,55.859135
the Zapercahe laa,03-03-22,100.644533,13.881591
Europe,03-03-22,39.579995,55.859135
Europe,03-03-22,39.579995,55.859135
TaLatest Ukraine,03-04-22,33.023452,49.219469
Pati,03-04-22,111.04294,-6.735568
West,03-04-22,10.70225,5.420717
West,03-04-22,10.70225,5.420717
the Baltic Sea,03-04-22,-72.088132,41.615654
Europe,03-04-22,39.579995,55.859135
bers.6 Mar,03-05-22,-57.55754,-38.00228
Europe,03-05-22,39.579995,55.859135
Europe,03-05-22,39.579995,55.859135
Black Sea,03-05-22,-104.677422,39.06047
Europe,03-05-22,39.579995,55.859135
Siberia,03-05-22,-76.51955,2.78689
the Dnieper River,03-05-22,34.068999,47.457285
Europe,03-05-22,39.579995,55.859135
Europe,03-05-22,39.579995,55.859135
the Middle East,03-05-22,121.387948,16.932122
Africa,03-05-22,3.924068,21.638471
Europe,03-06-22,39.579995,55.859135
Black Sea,03-06-22,-104.677422,39.06047
Europe,03-06-22,39.579995,55.859135
Europe,03-06-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
va territories,03-07-22,14.05773,55.980808
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
Latest Ukraine,03-08-22,33.023452,49.219469
el-Sisi,03-08-22,-89.27004,13.66845
West,03-09-22,10.70225,5.420717
el kop,03-10-22,22.33333,14.48333
Secuty Coane,03-10-22,1.713202,41.832674
Anas Tue,03-10-22,113.97157,22.39175
Rusin,03-10-22,34.80202,53.0651
thre conta yea,03-10-22,-44.070015,-19.901941
Ukraine?+ keane,03-11-22,33.023452,49.219469
theBlack Sea,03-11-22,-122.331537,47.673455
Europe,03-11-22,39.579995,55.859135
East,03-11-22,14.028273,3.834744
the Middle East,03-11-22,121.387948,16.932122
Europe,03-11-22,39.579995,55.859135
Sumy,03-11-22,34.79148,50.923856
North,03-11-22,-62.287056,-3.700556
Russiaand Ukraine,03-12-22,33.023452,49.219469
Russian President‘Vladimir Putin,03-12-22,93.884016,63.314401
Europe,03-12-22,39.579995,55.859135
Duteh,03-12-22,8.017909,52.224788
Russian NATOwarningSweden's,03-12-22,93.884016,63.314401
theBlack Sea,03-12-22,-122.331537,47.673455
Europe,03-13-22,39.579995,55.859135
Europe,03-13-22,39.579995,55.859135
Europe,03-13-22,39.579995,55.859135
Europe,03-13-22,39.579995,55.859135
by'a Ukrainian,03-13-22,33.023452,49.219469
Marup,03-13-22,11.77679,55.64118
Mars,03-16-22,8.904277,47.150366
West,03-16-22,10.70225,5.420717
Mars,03-16-22,8.904277,47.150366
the Une Sates,03-16-22,-1.431229,43.640526
Apt,03-16-22,5.395393,43.878233
Marina,03-16-22,-122.44051,37.80332
West,03-16-22,10.70225,5.420717
West,03-17-22,10.70225,5.420717
Black Sea,03-17-22,-104.677422,39.06047
West,03-18-22,10.70225,5.420717
Indian counterpart‘Narendra Modi,03-18-22,76.97021,22.20775
Black Sea‘Russia,03-18-22,-104.677422,39.06047
theBlack Sea,03-18-22,-122.331537,47.673455
Mediterranean,03-18-22,4.411091,51.178451
Black Sea,03-18-22,-104.677422,39.06047
West,03-18-22,10.70225,5.420717
Europe,03-18-22,39.579995,55.859135
Europe,03-18-22,39.579995,55.859135
tothe Sea of,03-18-22,-122.35069,47.62025
Europe,03-18-22,39.579995,55.859135
Europe,03-18-22,39.579995,55.859135
Black Sea,03-19-22,-104.677422,39.06047
Sviatoshyn,03-19-22,30.373251,50.457046
Europe,03-19-22,39.579995,55.859135
National Stadium,03-19-22,-13.249045,8.479634
Europe,03-19-22,39.579995,55.859135
Black Sea,03-20-22,-104.677422,39.06047
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
the Back Sea,03-20-22,-2.669279,51.644884
Azo Sea,03-20-22,36.823046,46.076988
the Black Sea penin‘sco,03-20-22,-4.619618,53.2806
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Europe,03-20-22,39.579995,55.859135
Rusin,03-21-22,34.80202,53.0651
Europe,03-21-22,39.579995,55.859135
Asser,03-21-22,-52.656174,-27.09154
Europe,03-22-22,39.579995,55.859135
Central Asia,03-24-22,120.79762,15.30714
West,03-25-22,10.70225,5.420717
Central Asia,03-25-22,120.79762,15.30714
Europe,03-25-22,39.579995,55.859135
Europe,03-25-22,39.579995,55.859135
Northern Ukraine,03-25-22,33.023452,49.219469
Europe,03-25-22,39.579995,55.859135
Eastern Military District,03-25-22,114.223333,22.275137
the Kuril Islands,03-25-22,-79.377729,43.621503
West,03-25-22,10.70225,5.420717
West,03-26-22,10.70225,5.420717
Tweet,03-26-22,100.883351,12.936599
Europe,03-26-22,39.579995,55.859135
West,03-26-22,10.70225,5.420717
Black Sea,03-26-22,-104.677422,39.06047
Batic,03-26-22,111.6478,-7.8079
Europe,03-26-22,39.579995,55.859135
Europe,03-26-22,39.579995,55.859135
Atlantic,03-26-22,-73.665795,40.643655
Present Vad Pai,03-27-22,-0.078152,51.526188
Gates de“tam,03-27-22,-77.70066,43.16547
asia,03-27-22,94.464337,49.512481
East,03-28-22,14.028273,3.834744
West,03-28-22,10.70225,5.420717
West,03-28-22,10.70225,5.420717
Allies,03-28-22,139.667234,35.712714
Batic,03-28-22,111.6478,-7.8079
Latin America,03-28-22,10.209294,56.158999
the Middle East,03-28-22,121.387948,16.932122
by'a Russian,03-28-22,93.884016,63.314401
Peninsula,03-28-22,-85.52286,44.89445
East,03-28-22,14.028273,3.834744
Europe,03-28-22,39.579995,55.859135
Black Sea,03-28-22,-104.677422,39.06047
Europe,03-28-22,39.579995,55.859135
Europe,03-28-22,39.579995,55.859135
Eastern Europe,03-28-22,26.501313,-32.19228
Whidbey Island,03-28-22,-18.673522,64.779262
Europe,03-29-22,39.579995,55.859135
Europe,03-29-22,39.579995,55.859135
Wadi Pain,03-29-22,21.597428,14.996018
Europe,03-29-22,39.579995,55.859135
Europe,03-29-22,39.579995,55.859135
West,03-29-22,10.70225,5.420717
Black Sea,03-30-22,-104.677422,39.06047
Kaliningrad,03-30-22,20.513181,54.707178
Europe,03-30-22,39.579995,55.859135
Europe,03-30-22,39.579995,55.859135
Europe,03-30-22,39.579995,55.859135
Europe,03-30-22,39.579995,55.859135
the Ukrainian,03-01-22,-73.989734,40.727706
the Dnieper River,03-01-22,34.068999,47.457285
Europe,03-01-22,39.579995,55.859135
Asia,03-01-22,94.464337,49.512481
the East Room,03-01-22,-95.934693,41.267462
West,03-01-22,10.70225,5.420717
Europe,03-01-22,39.579995,55.859135
Europe,03-01-22,39.579995,55.859135
the Babyn Yar Holocaust,03-01-22,35.765127,54.421412
the Babyn Yar,03-01-22,35.765127,54.421412
the Styahen River,03-02-22,121.387948,16.932122
the Stryzhen River,03-02-22,33.69468,51.41511
the East Asian,03-02-22,-115.191801,36.119692
the Black Sea,03-02-22,121.387948,16.932122
Embassy,03-02-22,-80.710741,35.237123
Europe,03-02-22,39.579995,55.859135
Latin America,03-02-22,10.209294,56.158999
West,03-02-22,10.70225,5.420717
Latin America’s,03-02-22,10.209294,56.158999
Minuteman Ill,03-02-22,-89.191575,40.265028
the Black Sea,03-02-22,121.387948,16.932122
Europe,03-02-22,39.579995,55.859135
Europe,03-02-22,39.579995,55.859135
Soviet Ukraine,03-03-22,33.023452,49.219469
Kharkiv,03-03-22,36.230969,49.978037
EUROPE,03-03-22,39.579995,55.859135
Europe,03-03-22,39.579995,55.859135
Europe,03-03-22,39.579995,55.859135
Europe,03-03-22,39.579995,55.859135
South Sudan,03-03-22,30.109512,7.170803
West,03-03-22,10.70225,5.420717
Mars,03-03-22,8.904277,47.150366
Earth,03-03-22,-102.40918,34.233025
Black Sea,03-03-22,-104.677422,39.06047
West,03-03-22,10.70225,5.420717
Europe,03-03-22,39.579995,55.859135
West,03-03-22,10.70225,5.420717
Europe,03-04-22,39.579995,55.859135
the Ura Poh,03-04-22,121.387948,16.932122
Europe,03-04-22,39.579995,55.859135
Europe,03-04-22,39.579995,55.859135
Europe,03-04-22,39.579995,55.859135
East Europe,03-04-22,21.256124,46.208956
West,03-04-22,10.70225,5.420717
Europe,03-04-22,39.579995,55.859135
West,03-04-22,10.70225,5.420717
Europe,03-04-22,39.579995,55.859135
West,03-05-22,10.70225,5.420717
Loca,03-05-22,-54.19077,3.82985
Europa,03-05-22,39.579995,55.859135
Aegean Sea,03-05-22,26.138912,38.372999
Aegean Sea,03-05-22,26.138912,38.372999
West,03-05-22,10.70225,5.420717
Europe,03-05-22,39.579995,55.859135
the Black Sea,03-06-22,121.387948,16.932122
North West,03-06-22,25.477234,-26.701793
Israe,03-06-22,-5.528824,33.892556
Eastern Europe,03-06-22,26.501313,-32.19228
West,03-06-22,10.70225,5.420717
Europe,03-07-22,39.579995,55.859135
East,03-07-22,14.028273,3.834744
West,03-07-22,10.70225,5.420717
Gulf Coast,03-07-22,-82.659157,28.493979
the Zhytomyr-Kyiv,03-07-22,121.387948,16.932122
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
the Sea of Azov,03-07-22,35.544012,32.785227
the Dnieper River,03-07-22,34.068999,47.457285
the Dnieper River,03-07-22,34.068999,47.457285
West,03-07-22,10.70225,5.420717
Europe,03-07-22,39.579995,55.859135
Europe,03-07-22,39.579995,55.859135
the Black Sea,03-08-22,121.387948,16.932122
the Black Sea,03-08-22,121.387948,16.932122
Africa,03-08-22,3.924068,21.638471
Europe,03-08-22,39.579995,55.859135
West,03-08-22,10.70225,5.420717
West,03-08-22,10.70225,5.420717
West,03-08-22,10.70225,5.420717
Westen Europe,03-08-22,13.258485,52.51274
Europe,03-08-22,39.579995,55.859135
West,03-08-22,10.70225,5.420717
West,03-08-22,10.70225,5.420717
Europe,03-08-22,39.579995,55.859135
West,03-08-22,10.70225,5.420717
Europe,03-08-22,39.579995,55.859135
Europe,03-08-22,39.579995,55.859135
Europe,03-09-22,39.579995,55.859135
Europe,03-09-22,39.579995,55.859135
Europe,03-09-22,39.579995,55.859135
Europe,03-09-22,39.579995,55.859135
Bay Area,03-09-22,-122.431272,37.778008
Tania,03-09-22,-89.24768,21.11111
Europe,03-09-22,39.579995,55.859135
South Ukraine,03-10-22,33.023452,49.219469
Europe,03-10-22,39.579995,55.859135
Europe,03-11-22,39.579995,55.859135
the Dnieper River,03-11-22,34.068999,47.457285
Europe,03-11-22,39.579995,55.859135
East,03-11-22,14.028273,3.834744
the Middle East,03-11-22,121.387948,16.932122
Europe,03-11-22,39.579995,55.859135
Europe,03-11-22,39.579995,55.859135
Lviv,03-11-22,24.031393,49.841559
